Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
m7g.xlarge,m7g,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.204 USD per Hour,0.2603 USD per Hour,0.2616 USD per Hour,0.211 USD per Hour,false,false
m6i.4xlarge,m6i,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.5,64,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,5000,20000,625,10000,40000,1250,1.696 USD per Hour,0.96 USD per Hour,1.085 USD per Hour,1.1328 USD per Hour,0.988 USD per Hour,false,true
x2idn.metal,x2idn,metal,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,128,x86_64,64,-,2,-,3.5,2048,3800,true,ssd,2,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,unsupported,ebs,true,-,-,true,80000,260000,10000,80000,260000,10000,25.229 USD per Hour,19.341 USD per Hour,19.466 USD per Hour,20.5698 USD per Hour,19.565 USD per Hour,true,false
c5.9xlarge,c5,9xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,0,-,-,0,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,9500,40000,1187.5,9500,40000,1187.5,3.654 USD per Hour,1.998 USD per Hour,2.098 USD per Hour,2.387 USD per Hour,2.061 USD per Hour,false,false
r5b.xlarge,r5b,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,2500,10833,312.5,10000,43333,1250,0.546 USD per Hour,0.362 USD per Hour,0.4183 USD per Hour,0.4196 USD per Hour,0.369 USD per Hour,false,false
c8i-flex.4xlarge,c8i-flex,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.9,32,0,-,-,0,supported,default,Up to 15 Gigabit,required,8,50,50,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,2500,12000,312.5,10000,40000,1250,1.62928 USD per Hour,0.93008 USD per Hour,1.05508 USD per Hour,1.10288 USD per Hour,0.95808 USD per Hour,false,true
m7gd.4xlarge,m7gd,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.6,64,950,true,ssd,1,supported,default,Up to 15 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,-,1.0735 USD per Hour,1.1985 USD per Hour,1.2463 USD per Hour,1.1015 USD per Hour,false,false
t3.nano,t3,nano,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,0.5,0,-,-,0,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",0,0,true,supported,ebs,true,true,true,true,43,250,5.375,2085,11800,260.625,0.0112 USD per Hour,0.0066 USD per Hour,0.0066 USD per Hour,-,0.0101 USD per Hour,false,false
x8g.metal-24xl,x8g,metal-24xl,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,96,arm64,96,-,1,-,2.8,1536,0,-,-,0,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,-,11.25504 USD per Hour,11.38004 USD per Hour,12.29184 USD per Hour,11.42304 USD per Hour,true,false
m6i.32xlarge,m6i,32xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,512,0,-,-,0,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,40000,160000,5000,40000,160000,5000,13.568 USD per Hour,7.68 USD per Hour,7.805 USD per Hour,8.9088 USD per Hour,7.904 USD per Hour,true,true
m8i.32xlarge,m8i,32xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,128,x86_64,64,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.9,512,0,-,-,0,supported,default,50 Gigabit,required,24,64,64,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,40000,160000,5000,40000,160000,5000,14.3552 USD per Hour,8.4672 USD per Hour,8.5922 USD per Hour,9.696 USD per Hour,8.6912 USD per Hour,true,true
m6in.4xlarge,m6in,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.5,64,0,-,-,0,supported,default,Up to 50 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,12500,50000,1562.5,25000,100000,3125,2.14 USD per Hour,1.404 USD per Hour,1.529 USD per Hour,1.5768 USD per Hour,1.432 USD per Hour,false,true
m5d.24xlarge,m5d,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.1,384,3600,true,ssd,4,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,11.232 USD per Hour,6.816 USD per Hour,6.916 USD per Hour,7.853 USD per Hour,6.984 USD per Hour,false,false
i7ie.metal-24xl,i7ie,metal-24xl,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,96,x86_64,48,-,2,-,3.6,768,60000,true,ssd,8,supported,default,Up to 100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,19.3752 USD per Hour,14.9592 USD per Hour,15.0842 USD per Hour,15.996 USD per Hour,15.1272 USD per Hour,true,false
r5b.4xlarge,r5b,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,128,0,-,-,0,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,10000,43333,1250,10000,43333,1250,2.184 USD per Hour,1.448 USD per Hour,1.573 USD per Hour,1.6208 USD per Hour,1.476 USD per Hour,false,false
r5d.24xlarge,r5d,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.1,768,3600,true,ssd,4,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,12.768 USD per Hour,8.352 USD per Hour,8.477 USD per Hour,9.389 USD per Hour,8.52 USD per Hour,false,false
r5n.2xlarge,r5n,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,64,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,2300,12000,287.5,4750,18750,593.75,1.092 USD per Hour,0.724 USD per Hour,0.849 USD per Hour,0.839 USD per Hour,0.738 USD per Hour,false,false
m5zn.12xlarge,m5zn,12xlarge,"ap-southeast-2a, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",4.5,192,0,-,-,0,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,7.164 USD per Hour,4.956 USD per Hour,5.081 USD per Hour,5.4744 USD per Hour,5.04 USD per Hour,false,false
